,0,1,2
0,Granada,Maracena,Pza. Era Baja
0,07:05,07:15,07:25
0,07:05,07:20,07:30
0,07:50,08:05,08:15
0,08:00,08:20,08:30
0,08:30,08:50,09:00
0,08:40,08:55,09:05
0,09:00,09:20,09:30
0,09:30,09:50,10:00
0,10:00,10:20,10:30
0,10:30,10:50,11:00
0,11:00,11:20,11:30
0,11:30,11:50,12:00
0,12:00,12:20,12:30
0,12:30,12:50,13:00
0,13:00,13:20,13:30
0,13:30,13:50,14:00
0,14:00,14:20,14:30
0,14:30,14:50,15:00
0,15:00,15:20,15:30
0,15:30,15:50,16:00
0,16:30,16:50,17:00
0,17:30,17:50,18:00
0,18:30,18:50,19:00
0,19:30,19:50,20:00
0,20:30,20:50,21:00
0,21:30,21:50,22:00
